"05-11 to 06-09","06-10 to 07-09","07-10 to 08-08","08-09 to 09-07","09-08 to NA","sites"
-0.105777271079274,0.583687587417032,0.181000146127521,0.174509259852506,-0.074306334203393,"10ABAM_OR"
-0.0602747763826501,0.60514770286967,0.782868538826618,-0.0551404246931457,-0.0569253069202927,"11ABAM_OR"
-0.0807597648308398,0.524868240542673,0.0643319094371237,-0.0477430569682294,-0.0737881911321657,"1ABAM_OR"
-0.0415574059147668,0.478443191091479,0.653950940556595,-0.0764309345939222,-0.0750816252078818,"22ABAM_WA"
-0.00255163906529414,0.295759697365063,0.552393894846214,0.0178069668342756,-0.0905856847494809,"28ABAM_WA"
0.0696207221008976,0.179292222709038,0.0359569544474313,-0.0829568122061964,-0.0358419842868593,"30ABAM_WA"
0.0142140698989132,0.190257129729708,0.177174533626006,0.0503680223612456,-0.0311769167408909,"31ABAM_WA"
0.0666574746406703,0.286731664677414,0.399332279390242,-0.00686842601743727,-0.0691404270574887,"33ABAM_WA"
0.343844863905061,0.422356732764059,0.0335006603582871,-0.0750326839337721,-0.0353091401973202,"35ABAM_WA"
-0.0707594297162953,-0.0923164529291681,0.561550655240567,0.182488891763897,0.00993479376686535,"36ABAM_WA"
0.183934788078255,0.301657314339686,-0.0515601834765023,-0.0867165680735984,-0.0853966653253651,"37ABAM_WA"
-0.0904392296385153,0.0137691854823781,0.818349826402746,0.250925426006898,-0.0850503302793674,"2ABCO_OR"
0.0798199931591664,-0.0825456509604857,0.114394480036328,0.664259610282422,-0.0902923397911209,"3ABCO_OR"
-0.0275330907007433,0.227751146394684,0.411533170538165,0.184813003124753,-0.0868671790334852,"12ABGR_OR"
-0.50000029613912,0.999999918799935,0.999999994607367,0.999998810980544,-0.274439208848139,"39ABGR_WA"
0.601273671626932,0.321549987567705,0.351206091194551,0.102152648002008,-0.0668680615848417,"40ABGR_WA"
-0.0893495549669469,-0.0529414020607024,0.154988602589679,0.585907122260109,-0.0811499577217104,"23ABLA_WA"
-0.0544238854712653,-0.0484876260855772,0.28223205156856,0.0537494448065972,-0.0490592907092667,"4ABLA_OR"
-0.0831282575170778,-0.0238261216493084,0.00722985657508971,-0.00166186597687033,-0.090294985944368,"5ABMA_OR"
-0.0852915331354279,0.00447444588174688,-0.105646430092803,0.511858095773572,-0.091261195992108,"6ABMA_OR"
-0.0870422507204668,-0.129988952775475,-0.106923440961933,0.0705396237470042,-0.11737518034667,"13ABMAS_OR"
-0.269397218219845,0.999501951006271,0.999988395769796,-0.193022354728356,-0.233932705039653,"43ABMAS_WA"
-0.0830960801348643,0.467378354915537,0.360803610843422,0.308191677529565,0.157458884801866,"14ABPR_OR"
-0.150586432738019,0.528406516866996,0.392454403460207,0.0259517651453616,-0.0564539835761489,"15ABPR_OR"
-0.0648505499132464,0.30047424325803,0.460669087090561,0.123906559505472,-0.109254719313117,"44ABPR_WA"
-0.101506060908594,0.761071466680139,0.863387446451619,0.161768742269999,-0.100314889781856,"45ABPR_WA"
0.638122793286863,0.682787131584247,0.433401808109212,-0.00587432484674912,0.00511478149975956,"46ABPR_WA"
0.381367785392019,0.362058028339855,0.137153836777035,0.201233224320963,-0.139579315995008,"48ABPR_WA"
0.355252805231903,0.272473740872264,0.0224404740046774,0.0421604635130766,-0.0779090142351418,"49ABPR_WA"
-0.486574677681877,0.268405001910762,0.993723313850611,0.865071356050261,0.947540702656136,"50ABPR_WA"
-0.49999766909481,0.999962970909782,0.997528981686595,0.99365310921503,-0.0732290518702123,"21PIEN_WA"
-0.0540633741060017,-0.0736783159299593,0.189101541095273,0.162672655284018,-0.0519290709257564,"7PILA_OR"
-0.117640732966884,0.0587541174083124,0.00154212247133813,-0.114738810853604,-0.114292639560429,"16PIMO3_OR"
0.0915899627228068,0.104813172792241,0.542514559734476,0.178101100457897,-0.0213656320260192,"27PIMO3_WA"
-0.836176862378364,0.904350619047209,0.89343312633176,0.89345723117248,0.0747343009140853,"54PIMO3_WA"
-0.162888859589604,-0.0765569534682781,-0.120122257333953,0.262913850881423,0.040466898992426,"55PIMO3_WA"
0.509017373890134,-0.338408230236991,0.266704738447807,0.293632570723182,0.461537815230347,"57PIMO3_WA"
-0.0958187215251306,0.258845529006215,0.371745691684444,0.0698442307755031,-0.0836657152799171,"17TSME_OR"
-0.0851737545608219,0.0677830133206327,0.497521105160897,0.0684801935038013,-0.0859224724806522,"18TSME_OR"
-0.0793417655154613,0.3628326016076,0.790660918594475,-0.0505973512052101,-0.0737582433435112,"19TSME_OR"
-0.117426444087727,0.183847131559693,0.105147175881173,-0.0374516661251105,-0.105757923343902,"25TSME_WA"
-0.0872335945755359,0.356194497946103,0.0768399399038215,-0.0490436969645134,-0.0881992977436383,"26TSME_WA"
0.0128352115114531,0.225871381235566,0.0033598513388943,0.273589166303392,0.186227796969708,"58TSME_WA"
-0.0166197490921868,0.0787131179494078,0.458181248847929,0.19411871025008,-0.101590758630572,"59TSME_WA"
-0.279483591754175,0.99905979631243,0.998579127102139,-0.154913881344137,-0.246411212005023,"60TSME_WA"
-0.10213575903441,0.338453638718202,0.194822056913228,-0.041520963729869,-0.101101798799066,"8TSME_OR"
-0.09949348013881,0.751303372738535,-0.0954520231771164,0.285684324892137,-0.0909789241486078,"9TSME_OR"
