"05-05 to 06-03","06-04 to 07-03","07-04 to 08-02","08-03 to 09-01","09-02 to 10-01","sites"
-0.0979050444080321,-0.0752687813053473,-0.0167461731164189,0.412967770270992,-0.0740720200593731,"10ABAM_OR"
-0.0575131182333575,-0.0971975253653463,0.479844506950351,-0.0476406159678998,-0.0579127293593897,"11ABAM_OR"
-0.0742756994042501,-0.0898676952870378,-0.0223314544906788,-0.0448120367001597,-0.0727354583286719,"1ABAM_OR"
-0.0352022597046517,-0.0275650960147262,0.524356603847373,-0.0716924301203198,-0.0736416384684559,"22ABAM_WA"
-0.00146156563670647,0.00174074746900298,0.60503632211118,0.0683937058443581,-0.0736074934079607,"28ABAM_WA"
0.277886300033545,0.293375485770831,0.0511399794540441,0.0897543523551898,-0.0139020538322931,"30ABAM_WA"
0.222615246148225,0.242461596619501,0.136651108776697,0.598414446227046,0.0100103949166964,"31ABAM_WA"
0.0684618017937304,0.0662228448157424,0.321108061953723,-0.00849610058379209,-0.0516645340312422,"33ABAM_WA"
0.351418503045335,0.354151301035187,0.0394143407889718,-0.0356494041665675,-0.0352111355445052,"35ABAM_WA"
-0.0703013612614641,-0.0817280749209882,-0.040722886968703,0.385337782287215,0.00976099615296896,"36ABAM_WA"
0.188956449846402,0.189111756938018,-0.0439136961965643,-0.0928240166355912,-0.085323944694516,"37ABAM_WA"
-0.0904532971232663,0.095990074487451,0.495427144869725,0.220450589290266,-0.0175651811034098,"2ABCO_OR"
0.0798401957068909,-0.102941788516368,-0.0791661309388594,0.70668044268656,-0.00295407991835327,"3ABCO_OR"
-0.0285398255182524,-0.0374765991717391,0.411027082259506,0.204959337324187,0.270215564468021,"12ABGR_OR"
-0.49993915466021,0.999663411832791,0.999999999991154,0.998253263387282,0.981477507043714,"39ABGR_WA"
0.613320843673816,0.651998420984428,0.449884703404624,0.104040298157859,0.147683148452334,"40ABGR_WA"
-0.0815990888302786,-0.111509753502406,-0.075951427756483,0.561261448686254,-0.076224857378268,"23ABLA_WA"
-0.0495171805817291,-0.0723111572763431,-0.0410678219257792,0.0233205805464922,-0.0434198394110409,"4ABLA_OR"
-0.0824365476658025,-0.165034425485443,-0.0901683962782088,-0.0589636249687585,-0.0903322328998664,"5ABMA_OR"
-0.0874028334767353,-0.0869219501254319,-0.0767974205455333,0.576078092244921,-0.0909074034219164,"6ABMA_OR"
-0.0660449526392661,-0.108444108624653,-0.107620399223803,0.414485640478261,-0.112923182447278,"13ABMAS_OR"
-0.393912395486323,-0.0837510316666982,0.999999629648858,-0.221290512070145,-0.116822584741279,"43ABMAS_WA"
-0.0744748773545069,-0.0588079967697728,0.557550270765289,0.278494253910004,0.265208825363491,"14ABPR_OR"
-0.110994018242221,-0.114730966336157,0.754529906715505,0.0396358807524107,-0.0571253889281184,"15ABPR_OR"
-0.0629965624747911,-0.0650342004544659,0.531162345217617,0.119825837046471,-0.078570598901202,"44ABPR_WA"
-0.100408738330615,-0.0834913285548877,0.863369083162053,0.2148914176642,-0.120070780854241,"45ABPR_WA"
0.640280414051068,0.64121419463023,0.435891558471469,0.0609619321276278,0.00625494928112244,"46ABPR_WA"
0.422285310576869,0.426650442485388,0.14204963828941,0.289196599772995,-0.139646253356809,"48ABPR_WA"
0.397035228070261,0.384860051578913,0.0237499919590427,0.040761093607608,-0.063063653234358,"49ABPR_WA"
-0.48679020842633,-0.475496769883671,0.999997162905746,-0.397142793672481,0.995851318362279,"50ABPR_WA"
-0.499778491113168,0.998059324237356,0.999997712319157,-0.434623035236859,0.975968623784134,"21PIEN_WA"
-0.0542811361270699,-0.0695480531544464,0.198929781359595,0.0256145177150403,-0.086577917459988,"7PILA_OR"
-0.118263492797558,-0.163248366688747,0.00215983389989972,-0.0756457912465596,-0.108416197605668,"16PIMO3_OR"
0.0905483428719335,0.0904782635914892,0.440616955239346,0.178482060815352,0.213314656406627,"27PIMO3_WA"
-0.842106428701528,0.478582859955759,0.893196634307862,0.886970432136439,0.872501327473706,"54PIMO3_WA"
-0.162054763846544,-0.205143379173282,-0.157447872646791,0.263312250817269,0.0416177284767145,"55PIMO3_WA"
0.505820287509698,-0.662193731287957,0.432881078932454,0.293123091977392,0.47455899090495,"57PIMO3_WA"
-0.0935615181269918,-0.0162693108293417,0.171006123373518,0.227005093596404,-0.0823516876232217,"17TSME_OR"
-0.0847545089031542,-0.0746917989093404,-0.0581895606672005,0.172782506959664,-0.0805809869574313,"18TSME_OR"
-0.0763927169277856,0.01006059448722,0.155074381485945,-0.0166436374492583,-0.0714534440720199,"19TSME_OR"
-0.140749308452964,-0.0386355386433531,0.486629116618913,-0.0371888437598425,-0.0177585688852232,"25TSME_WA"
-0.0873177403617544,-0.0560990519509466,0.0328873852547627,0.0821521008986879,-0.082536102368828,"26TSME_WA"
0.22134776106247,0.209470913813275,0.333153959959648,0.274214742124918,0.196448077164832,"58TSME_WA"
-0.0468462843186841,-0.0966740191942179,0.472947821304387,0.197478737209848,-0.159514001522874,"59TSME_WA"
-0.467737760648657,0.460808036076912,0.999210744847066,-0.183086898198943,-0.129667855685758,"60TSME_WA"
-0.102593929688528,-0.0624797862660146,-0.019710302805515,0.00860965775162379,-0.100597161645968,"8TSME_OR"
-0.0913526821893951,-0.091678576733476,-0.0806511840589511,0.32749738171547,-0.0913398589175869,"9TSME_OR"
